CodOp,NomePrograma,EixoPrioritario,TxCofinanciamentoFinal,ObjetivoTematico,PrioridadeInvestimento,DesignacaoOperacao,SiglaFundoOperacao,BeneficiarioOperacao,DataPrevIn,DataPrevFim,CustoTotalElegivelAprovado,ApoioTotalAprovado,Pais,DesignacaoNUTSII_Dominante,DesignacaoNUTSIII_Dominante,ConcelhoDominante,FreguesiaDominante,CodigoDomínioIntervencaoDominante,ResumoDaOperacao
POCH-03-5470-FSE-000023,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Sistema de Aprendizagem,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",02-01-2014,18-10-2016,1556866.52,1323336.54,PT,Centro,Região de Leiria,,,VII01117,"Trata-se de uma resposta de dupla certificação que visa elevar o nível de qualificação e reforçar a orientação da população jovem que não se encontra em situação de emprego nem a frequentar qualquer ação de educação ou de formação. As áreas profissionais selecionadas, apresentam grande relevância enquanto resposta às necessidades de emprego local."
POCH-03-5470-FSE-000024,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Sistema de Aprendizagem,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",02-01-2014,14-12-2016,953070.16,810109.64,PT,Norte,,,,VII01117,"Constitui objetivo da presente candidatura promover os cursos de formação do sistema de Aprendizagem, que são cursos de formação profissional inicial, em alternância, dirigidos a jovens, privilegiando a sua inserção no mercado de trabalho e permitindo o prosseguimento de estudos. Estes cursos permitem uma intervenção junto dos jovens em transição para a vida ativa e dos que já integram o mercado de trabalho sem o nível secundário de formação esc"
POCH-03-5470-FSE-000025,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Sistema de Aprendizagem,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",02-01-2014,06-12-2016,2897653.48,2463005.46,PT,Alentejo,,,,VII01117,"No âmbito do desenvolvimento da sua actividade enquanto serviço público de emprego o IEFP,IP tem como um dos principais objectivos o desenvolvimento de formação profissional no âmbito dos cursos de Aprendizagem. A Aprendizagem tem, como finalidade, a integração nas empresas, de jovens qualificados com uma preparação técnica adequada, bem como a participação activa no desenvolvimento das organizações em que se inserem. Permite a qualificação de c"
POCH-03-5470-FSE-000026,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Sistema de Aprendizagem,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",02-01-2014,15-07-2016,857319.97,728721.97,PT,Alentejo,Baixo Alentejo,,,VII01117,É constituído por 20 ações de formação que contemplam diversas áreas de formação e têm como objectivo proporcionar aos formandos a conclusão do ensino secundário e de uma qualificação profissional de nível 4.
POCH-03-5470-FSE-000027,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Sistema de Aprendizagem,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",02-01-2014,29-07-2016,1318421.8,1120658.53,PT,Norte,,,,VII01117,"Proporcionar aos jovens à procura de uma saída profissional qualificante, uma formação de dupla certificação inicial, em alternância Centro de Formação/Empresas, capaz de melhorar as condições de inserção no mercado de trabalho e permitindo o prosseguimento de estudos. Pretende-se fazer uma intervenção junto dos jovens em transição para a vida ativa e dos que já integram o mercado de trabalho sem o nível secundário de formação escolar e profissi"
POCH-03-5470-FSE-000028,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Sistema de Aprendizagem,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",02-01-2014,29-12-2016,15936915.45,13546378.13,PT,Norte,,,,VII01117,"O presente tipo de intervenção visa apoiar a qualificação de jovens, por forma a facilitar a sua integração na vida ativa, através de uma tipologia de formação  aprendizagem  que valoriza a prática real em posto de trabalho na empresa como contexto para a aquisição de saberes científicos e tecnológicos e para o reforço das competências académicas, pessoais, sociais e relacionais."
POCH-03-5470-FSE-000029,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Sistema de Aprendizagem,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",02-01-2014,29-12-2016,6331369.97,5381664.47,PT,Norte,,,,VII01117,"O presente tipo de intervenção visa apoiar a qualificação de jovens, por forma a facilitar a sua integração na vida ativa, através de uma tipologia de formação  aprendizagem  que valoriza a prática real em posto de trabalho na empresa como contexto para a aquisição de saberes científicos e tecnológicos e para o reforço das competências académicas, pessoais, sociais e relacionais."
POCH-03-5470-FSE-000030,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Sistema de Aprendizagem,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",02-01-2014,02-12-2016,7360976.32,6256829.87,PT,Norte,,,,VII01117,"O presente tipo de intervenção visa apoiar a qualificação de jovens, por forma a facilitar a sua integração na vida ativa, através de uma tipologia de formação  aprendizagem  que valoriza a prática real em posto de trabalho na empresa como contexto para a aquisição de saberes científicos e tecnológicos e para o reforço das competências académicas, pessoais, sociais e relacionais."
POCH-03-5470-FSE-000031,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Sistema de Aprendizagem,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",02-01-2014,25-11-2016,953944.65,810852.95,PT,Alentejo,Lezíria do Tejo,,,VII01117,"O baixo nível de qualificação da população portuguesa e de modo particular na nossa região, leva-nos a estruturar uma oferta formativa que vá, por um lado, ao encontro das necessidades das empresas, e, por outro lado, vá também ao encontro do diversificado público-alvo.
Assim, com este projeto pretende-se de forma transversal:
 - Estreitar o relacionamento entre a formação e a educação, privilegiando, em primeira mão, a dupla certificação, esc"
POCH-03-5470-FSE-000032,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Sistema de Aprendizagem,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",02-01-2014,28-12-2016,12541129.16,10659959.79,PT,Norte,,,,VII01117,"O presente tipo de intervenção visa apoiar a qualificação de jovens, por forma a facilitar a sua integração na vida ativa, através de uma tipologia de formação  aprendizagem  que valoriza a prática real em posto de trabalho na empresa como contexto para a aquisição de saberes científicos e tecnológicos e para o reforço das competências académicas, pessoais, sociais e relacionais."
POCH-03-5470-FSE-000033,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Sistema de Aprendizagem,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",01-01-2014,16-09-2016,3383240.15,2875754.13,PT,,,,,VII01117,"O baixo nível de qualificação da população portuguesa e de modo particular na nossa região, leva-nos a estruturar uma oferta formativa que vá, por um lado, ao encontro das necessidades das empresas, e, por outro lado, vá também ao encontro do diversificado público-alvo.
Assim, com este projeto pretende-se de forma transversal:
 - Estreitar o relacionamento entre a formação e a educação, privilegiando, em primeira mão, a dupla certificação, esc"
POCH-03-5470-FSE-000034,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Sistema de Aprendizagem,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",02-01-2014,16-12-2016,1026660.71,872661.6,PT,Alentejo,Lezíria do Tejo,,,VII01117,"O baixo nível de qualificação da população portuguesa e de modo particular na nossa região, leva-nos a estruturar uma oferta formativa que vá, por um lado, ao encontro das necessidades das empresas, e, por outro lado, vá também ao encontro do diversificado público alvo.
Assim, com este projecto pretende-se de forma transversal:
 - estreitar o relacionamento entre a formação e a educação, privilegiando, em primeira mão, a dupla certificação, es"
POCH-03-5470-FSE-000035,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Sistema de Aprendizagem,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",02-01-2014,12-07-2016,274975.76,233729.4,PT,Centro,Oeste,,,VII01117,"O baixo nível de qualificação da população portuguesa e de modo particular na nossa região, leva-nos a estruturar uma oferta formativa que vá, por um lado, ao encontro das necessidades das empresas, e, por outro lado, vá também ao encontro do diversificado público alvo.
Assim, com este projecto pretende-se de forma transversal:
 - estreitar o relacionamento entre a formação e a educação, privilegiando, em primeira mão, a dupla certificação, es"
POCH-03-5470-FSE-000038,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Sistema de Aprendizagem,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",02-01-2014,29-11-2016,1746924.35,1484885.7,PT,Centro,,,,VII01117,"O baixo nível de qualificação da população portuguesa e de modo particular na nossa região, leva-nos a estruturar uma oferta formativa que vá, por um lado, ao encontro das necessidades das empresas, e, por outro lado, vá também ao encontro do diversificado público-alvo.
Assim, com este projeto pretende-se de forma transversal:
 - Estreitar o relacionamento entre a formação e a educação, privilegiando, em primeira mão, a dupla certificação, esc"
POCH-03-5470-FSE-000039,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Sistema de Aprendizagem,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",02-01-2014,12-09-2016,545354.3,463551.16,PT,Norte,,,,VII01117,"A candidatura tem como objetivo primordial elevar a qualificação dos adultos segundo uma lógica de dupla certificação, contribuindo assim para melhorar os seus níveis de empregabilidade e de inclusão social e profissional"
POCH-03-5470-FSE-000040,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Sistema de Aprendizagem,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",02-01-2014,30-07-2016,893345.18,759343.4,PT,Norte,,,,VII01117,"Proporcionar aos Jovens da Região o acesso a uma qualificação de nível IV, bem como uma progressão escolar ao nível do 12º ano. 
O serviço de Formação tem procurado efetuar uma aposta nas áreas mais técnicas, pelo se priviligia em candidatura a mecatrónica, as tecnologias de informação e multimédia, a hotelaria e restauração, o comercio, a saúde e a agricultura."
POCH-03-5470-FSE-000043,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Cursos Educação e Formação de Adultos,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",02-01-2014,31-12-2016,4853103.99,4125138.39,PT,Centro,Região de Aveiro,,,VII01117,"Os cursos EFA promovidos pelo Centro de Emprego e Formação Profissional de Aveiro, visam elevar os níveis de habilitação escolar e profissional da população portuguesa adulta desempregada, através de uma oferta integrada de educação e formação que potencie as suas condições de empregabilidade e certifique as competências adquiridas ao longo da vida."
POCH-03-5470-FSE-000044,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Cursos Educação e Formação de Adultos,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",01-01-2014,31-12-2016,1584026.87,1346422.84,PT,Centro,,,,VII01117,"O presente projeto destina-se a apoiar a qualificação de adultos com vista a facilitar a sua integração na vida ativa. Os cursos de educação e formação para adultos (cursos EFA) constituem-se como um dos principais instrumentos para a qualificação de adultos, visam a redução dos seus défices de qualificação bem como a melhoria dos níveis de empregabilidade e de inclusão social e profissional."
POCH-03-5470-FSE-000045,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Cursos Educação e Formação de Adultos,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",02-01-2014,31-12-2016,4689436.57,3986021.08,PT,Centro,Região de Aveiro,Águeda,,VII01117,"O presente projeto destina-se a apoiar a qualificação de adultos com vista a facilitar a sua integração na vida ativa. Os cursos de educação e formação para adultos (cursos EFA) constituem-se como um dos principais instrumentos para a qualificação de adultos, visam a redução dos seus défices de qualificação bem como a melhoria dos níveis de empregabilidade e de inclusão social e profissional."
POCH-03-5470-FSE-000046,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Cursos Educação e Formação de Adultos,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",11-06-2014,31-12-2016,2303348.4,1957846.14,PT,Norte,Terras de Trás-os-Montes,,,VII01117,"As ações do presente projeto assumem-se como uma modalidade de dupla certificação, como principal instrumento de qualificação de adultos. Objetivando uma redução dos défices de qualificação bem como a melhoria dos níveis de empregabilidade  e de inclusão social e profissional."
POCH-03-5470-FSE-000047,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Cursos Educação e Formação de Adultos,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",02-01-2014,31-12-2016,16484061.84,14011452.56,PT,Norte,,,,VII01117,"Proporcionar aos adultos à procura de uma saída profissional qualificante, uma formação de dupla certificação, no Centro de Formação/Empresas, capaz de melhorar as condições de inserção no mercado de trabalho e permitindo o prosseguimento de estudos. Pretende-se fazer uma intervenção junto dos adultos em transição para a vida ativa e dos que já integram o mercado de trabalho sem o nível básico e secundário de formação escolar e profissional, com"
POCH-03-5470-FSE-000048,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Cursos Educação e Formação de Adultos,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",02-01-2014,31-12-2016,1689763.74,1436299.18,PT,Alentejo,Baixo Alentejo,,,VII01117,É constituído por 10 acções de formação e tem como objectivo proporcionar aos formandos a obtenção de novas qualificações escolares e/ou profissionais (ver igualmente ficheiro exportado).
POCH-03-5470-FSE-000049,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Cursos Educação e Formação de Adultos,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",02-01-2014,08-10-2015,190526.64,161947.64,PT,Alentejo,Alentejo Litoral,Odemira,,VII01117,É constituído por 6 acções de formação e tem como objectivo proporcionar aos formandos a obtenção de novas qualificações escolares e/ou profissionais (ver igualmente ficheiro exportado).
POCH-03-5470-FSE-000050,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Cursos Educação e Formação de Adultos,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",02-01-2014,06-04-2016,1256363.26,1067908.77,PT,Centro,,,,VII01117,"O presente projeto destina-se a apoiar a qualificação de adultos com vista a facilitar a sua integração na vida ativa. Os cursos de educação e formação para adultos (cursos EFA) constituem-se como um dos principais instrumentos para a qualificação de adultos, visam a redução dos seus défices de qualificação bem como a melhoria dos níveis de empregabilidade e de inclusão social e profissional."
POCH-03-5470-FSE-000051,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Cursos Educação e Formação de Adultos,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",02-01-2014,04-03-2016,1977558.18,1680924.45,PT,Centro,,,,VII01117,"O presente projeto destina-se a apoiar a qualificação de adultos com vista a facilitar a sua integração na vida ativa. Os cursos de educação e formação para adultos (cursos EFA) constituem-se como um dos principais instrumentos para a qualificação de adultos, visam a redução dos seus défices de qualificação bem como a melhoria dos níveis de empregabilidade e de inclusão social e profissional."
POCH-03-5470-FSE-000052,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Cursos Educação e Formação de Adultos,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",02-01-2014,16-12-2016,2009894.08,1708409.97,PT,Centro,Médio Tejo,,,VII01117,"O baixo nível de qualificação da população portuguesa e de modo particular na nossa região, o Médio Tejo, leva-nos a estruturar uma oferta formativa que vá, por um lado, ao encontro das necessidades das empresas, e, por outro lado, vá também ao encontro do diversificado público-alvo.
Assim, com este projeto pretende-se de forma transversal:
 - estreitar o relacionamento entre a formação e a educação, privilegiando, em primeira mão, a dupla cer"
POCH-03-5470-FSE-000053,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Cursos Educação e Formação de Adultos,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",02-01-2014,31-12-2016,4375394.32,3719085.17,PT,Centro,Região de Leiria,,,VII01117,"O presente projeto destina-se a apoiar a qualificação de adultos com vista a facilitar a sua integração na vida ativa. Os cursos de educação e formação para adultos (cursos EFA) constituem-se como um dos principais instrumentos para a qualificação de adultos, visam a redução dos seus défices de qualificação bem como a melhoria dos níveis de empregabilidade e de inclusão social e profissional."
POCH-03-5470-FSE-000054,PO Capital Humano,"03 - Aprendizagem, Qualificação ao longo da vida e reforço da empregabilidade",85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Cursos Educação e Formação de Adultos,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",02-01-2014,31-12-2016,1031609.37,876867.96,PT,Alentejo,Alto Alentejo,,,VII01117,"O presente projeto é constituído por 6 (seis) ações de formação candidatadas, que contemplam as seguintes áreas de formação: 341 Comércio (1), 344 Contabilidade e fiscalidade (1), 541 Indústrias alimentares (1), 729 Saúde (2) e 811 Hotelaria e restauração (1). As ações têm como objetivo proporcionar aos formandos a conclusão do ensino básico e secundário e atribuir uma qualificação profissional, contemplando 4 ações EFANS e 2 EFAB3."
